recipe_name,ingredients,ingredients_parsed
Adobong Pusit,"squid, soy sauce, vinegar, salt, onion, tomato, garlic, sugar","['s', 'q', 'u', 'i', 'd', 's', 'o', 'y', 's', 'a', 'u', 'c', 'e', 'v', 'i', 'n', 'e', 'g', 'a', 'r', 's', 'a', 'l', 't', 'o', 'n', 'i', 'o', 'n', 't', 'o', 'm', 'a', 't', 'o', 'g', 'a', 'r', 'l', 'i', 'c', 's', 'u', 'g', 'a', 'r']"
Bicol Express,"pork, coconut milk, coconut cream, shrimp paste, garlic, chili, ginger, onion, pepper","['p', 'o', 'r', 'k', 'c', 'o', 'c', 'o', 'n', 'u', 't', 'm', 'i', 'l', 'k', 'c', 'o', 'c', 'o', 'n', 'u', 't', 'c', 'r', 'e', 'a', 'm', 's', 'h', 'r', 'i', 'm', 'p', 'p', 'a', 's', 't', 'e', 'g', 'a', 'r', 'l', 'i', 'c', 'c', 'h', 'i', 'l', 'i', 'g', 'i', 'n', 'g', 'e', 'r', 'o', 'n', 'i', 'o', 'n', 'p', 'e', 'p', 'p', 'e', 'r']"
Chopseuy,"shrimp, pork, cauliflower, carrot, snow peas, baby corn, bell pepper, cabbage, quail egg, onion, garlic, soy sauce, oyster sauce, cornstarch, pepper","['s', 'h', 'r', 'i', 'm', 'p', 'p', 'o', 'r', 'k', 'c', 'a', 'u', 'l', 'i', 'f', 'l', 'o', 'w', 'e', 'r', 'c', 'a', 'r', 'r', 'o', 't', 's', 'n', 'o', 'w', 'p', 'e', 'a', 's', 'b', 'a', 'b', 'y', 'c', 'o', 'r', 'n', 'b', 'e', 'l', 'l', 'p', 'e', 'p', 'p', 'e', 'r', 'c', 'a', 'b', 'b', 'a', 'g', 'e', 'q', 'u', 'a', 'i', 'l', 'e', 'g', 'g', 'o', 'n', 'i', 'o', 'n', 'g', 'a', 'r', 'l', 'i', 'c', 's', 'o', 'y', 's', 'a', 'u', 'c', 'e', 'o', 'y', 's', 't', 'e', 'r', 's', 'a', 'u', 'c', 'e', 'c', 'o', 'r', 'n', 's', 't', 'a', 'r', 'c', 'h', 'p', 'e', 'p', 'p', 'e', 'r']"
Ginataan,"squash, sitaw, pork, coconut milk, onion, ginger, garlic, pepper, fish sauce","['s', 'q', 'u', 'a', 's', 'h', 's', 'i', 't', 'a', 'w', 'p', 'o', 'r', 'k', 'c', 'o', 'c', 'o', 'n', 'u', 't', 'm', 'i', 'l', 'k', 'o', 'n', 'i', 'o', 'n', 'g', 'i', 'n', 'g', 'e', 'r', 'g', 'a', 'r', 'l', 'i', 'c', 'p', 'e', 'p', 'p', 'e', 'r', 'f', 'i', 's', 'h', 's', 'a', 'u', 'c', 'e']"
Laing,"taro leaves, shrimp, coconut milk, shrimp paste, onion, garlic, ginger, chili, pork, pepper","['t', 'a', 'r', 'o', 'l', 'e', 'a', 'v', 'e', 's', 's', 'h', 'r', 'i', 'm', 'p', 'c', 'o', 'c', 'o', 'n', 'u', 't', 'm', 'i', 'l', 'k', 's', 'h', 'r', 'i', 'm', 'p', 'p', 'a', 's', 't', 'e', 'o', 'n', 'i', 'o', 'n', 'g', 'a', 'r', 'l', 'i', 'c', 'g', 'i', 'n', 'g', 'e', 'r', 'c', 'h', 'i', 'l', 'i', 'p', 'o', 'r', 'k', 'p', 'e', 'p', 'p', 'e', 'r']"
Pinakbet,"pork, onion, garlic, prawns, salt, pepper, tomato, okra, green beans, eggplant, ampalaya","['p', 'o', 'r', 'k', 'o', 'n', 'i', 'o', 'n', 'g', 'a', 'r', 'l', 'i', 'c', 'p', 'r', 'a', 'w', 'n', 's', 's', 'a', 'l', 't', 'p', 'e', 'p', 'p', 'e', 'r', 't', 'o', 'm', 'a', 't', 'o', 'o', 'k', 'r', 'a', 'g', 'r', 'e', 'e', 'n', 'b', 'e', 'a', 'n', 's', 'e', 'g', 'g', 'p', 'l', 'a', 'n', 't', 'a', 'm', 'p', 'a', 'l', 'a', 'y', 'a']"
Rellenong Bangus,"bangus (milkfish), lemon, soy sauce, onion, garlic, carrot, green peas, raisins, oyster sauce, salt, pepper, flour","['b', 'a', 'n', 'g', 'u', 's', 'm', 'i', 'l', 'k', 'f', 'i', 's', 'h', 'l', 'e', 'm', 'o', 'n', 's', 'o', 'y', 's', 'a', 'u', 'c', 'e', 'o', 'n', 'i', 'o', 'n', 'g', 'a', 'r', 'l', 'i', 'c', 'c', 'a', 'r', 'r', 'o', 't', 'g', 'r', 'e', 'e', 'n', 'p', 'e', 'a', 's', 'r', 'a', 'i', 's', 'i', 'n', 's', 'o', 'y', 's', 't', 'e', 'r', 's', 'a', 'u', 'c', 'e', 's', 'a', 'l', 't', 'p', 'e', 'p', 'p', 'e', 'r', 'f', 'l', 'o', 'u', 'r']"
Mixed Seafood with Oyster Sauce,"fish fillet, prawns, mussels, squid, oyster sauce, ginger, garlic, spring onions, sugar, cayenne, salt, pepper","['f', 'i', 's', 'h', 'f', 'i', 'l', 'l', 'e', 't', 'p', 'r', 'a', 'w', 'n', 's', 'm', 'u', 's', 's', 'e', 'l', 's', 's', 'q', 'u', 'i', 'd', 'o', 'y', 's', 't', 'e', 'r', 's', 'a', 'u', 'c', 'e', 'g', 'i', 'n', 'g', 'e', 'r', 'g', 'a', 'r', 'l', 'i', 'c', 's', 'p', 'r', 'i', 'n', 'g', 'o', 'n', 'i', 'o', 'n', 's', 's', 'u', 'g', 'a', 'r', 'c', 'a', 'y', 'e', 'n', 'n', 'e', 's', 'a', 'l', 't', 'p', 'e', 'p', 'p', 'e', 'r']"
Filipino Spaghetti,"spaghetti noodles, ground pork, luncheon meat, hotdogs, Filipino Style Spaghetti Sauce, cheese, beef broth, onion, garlic, salt, pepper","['s', 'p', 'a', 'g', 'h', 'e', 't', 't', 'i', 'n', 'o', 'o', 'd', 'l', 'e', 's', 'g', 'r', 'o', 'u', 'n', 'd', 'p', 'o', 'r', 'k', 'l', 'u', 'n', 'c', 'h', 'e', 'o', 'n', 'm', 'e', 'a', 't', 'h', 'o', 't', 'd', 'o', 'g', 's', 'f', 'i', 'l', 'i', 'p', 'i', 'n', 'o', 's', 't', 'y', 'l', 'e', 's', 'p', 'a', 'g', 'h', 'e', 't', 't', 'i', 's', 'a', 'u', 'c', 'e', 'c', 'h', 'e', 'e', 's', 'e', 'b', 'e', 'e', 'f', 'b', 'r', 'o', 't', 'h', 'o', 'n', 'i', 'o', 'n', 'g', 'a', 'r', 'l', 'i', 'c', 's', 'a', 'l', 't', 'p', 'e', 'p', 'p', 'e', 'r']"
Pansit Bihon,"pansit bihon, pork, chicken, snow peas, carrot, cabbage, celery leaves, onion, garlic, soy sauce","['p', 'a', 'n', 's', 'i', 't', 'b', 'i', 'h', 'o', 'n', 'p', 'o', 'r', 'k', 'c', 'h', 'i', 'c', 'k', 'e', 'n', 's', 'n', 'o', 'w', 'p', 'e', 'a', 's', 'c', 'a', 'r', 'r', 'o', 't', 'c', 'a', 'b', 'b', 'a', 'g', 'e', 'c', 'e', 'l', 'e', 'r', 'y', 'l', 'e', 'a', 'v', 'e', 's', 'o', 'n', 'i', 'o', 'n', 'g', 'a', 'r', 'l', 'i', 'c', 's', 'o', 'y', 's', 'a', 'u', 'c', 'e']"
